Date	App Name	App Apple Identifier	Download Type	App Version	Device	Platform Version	Source Type	Page Type	Pre-Order	Territory	Counts
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 14.7	App Store search	No page		AE	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Restore	6.1.7	iPhone	iOS 18.2	App Store search	No page		US	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.3	App Store search	No page		UA	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.4	Web referrer	Product page		AT	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 16.7	App Store browse	Store sheet		US	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.1	App referrer	Store sheet		JP	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App referrer	Store sheet		JP	25
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.1	Web referrer	Product page		FI	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	App referrer	Store sheet		PL	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 15.6	App referrer	Store sheet		US	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.6	Web referrer	Product page		NO	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.0	App Store search	No page		ES	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.5	App Store search	No page		AT	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App Store browse	Store sheet		ID	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.3	App Store search	No page		BE	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.1	App Store search	Product page		JP	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.1	App Store search	No page		TR	3
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.3	App referrer	Store sheet		GH	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 17.1	App Store search	No page		JP	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 15.8	Web referrer	No page		ZA	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 17.6	Web referrer	Product page		JP	3
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.6	App Store browse	No page		NG	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App Store browse	Product page		UA	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 18.5	App Store search	No page		IT	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	Web referrer	Product page		RU	8
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.7	App Store search	Product page		CA	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.1	App Store search	No page		KR	5
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.5	App Store search	No page		KZ	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.6	App Store search	No page		US	251
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	App Store browse	Product page		BE	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 16.5	App Store search	No page		NL	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.3	App Store search	No page		XK	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App Store browse	No page		AU	3
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.3	Web referrer	Product page		AU	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 12.5	App Store search	No page		GB	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	Web referrer	Product page		GB	11
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.6	Web referrer	Product page		CH	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 15.8	Web referrer	Product page		GB	5
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 26.0	App Store search	Product page		ID	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.1	App Store search	Product page		GH	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 17.6	App Store search	No page		US	7
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.1	App referrer	Product page		MA	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 15.5	App Store search	No page		US	12
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.1	Web referrer	Product page		GB	3
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.6	App Store search	No page		SA	10
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.1	App referrer	Store sheet		MD	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 15.7	App Store search	No page		JP	4
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 18.3	App referrer	Store sheet		JP	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.1	Web referrer	Product page		GR	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.4	App referrer	Product page		US	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.2	App referrer	Product page		AE	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.5	App Store search	Product page		US	20
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Redownload	6.1.7	iPhone	iOS 17.6	App Store search	No page		AU	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.1	App Store search	No page		IN	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.6	App Store search	No page		TR	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	App Store search	Product page		RO	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	Web referrer	Product page		CH	3
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.3	App Store search	Product page		GR	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.3	App Store search	No page		TR	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 17.7	App Store search	Product page		CA	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.7	App Store search	No page		AU	4
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Restore	6.1.7	iPhone	iOS 18.1	Web referrer	Product page		GB	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 26.0	App referrer	Store sheet		PL	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 18.6	Web referrer	Product page		SE	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	App referrer	No page		FR	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App Store search	No page		AU	16
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	Web referrer	Product page		BR	3
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.1	App Store search	No page		ID	5
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.4	App Store browse	Store sheet		US	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.1	App Store search	No page		ID	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App referrer	Product page		TW	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPad	iOS 16.7	Web referrer	Product page		JP	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 17.7	App Store search	No page		VN	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.1	App referrer	Product page		JP	6
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 17.6	App Store search	No page		MX	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App Store search	No page		SG	3
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 17.6	App Store search	No page		JP	4
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.6	App Store browse	No page		AU	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.2	App Store search	No page		FI	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.2	App Store search	Product page		DE	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 17.0	App Store browse	No page		AU	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App referrer	Store sheet		TR	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.4	App Store search	No page		VN	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.6	App Store browse	No page		GB	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.3	Web referrer	Product page		AR	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 16.2	App referrer	Store sheet		US	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.6	iPhone	iOS 18.5	App Store search	No page		AU	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.3	App Store search	No page		AE	1
